file_type,status,path
research_plan,complete,products/accredited-representation-management/research/2024-10-VSO-VAbenefits-interviews/research-plan.md
conversation_guide,complete,products/accredited-representation-management/research/2025-02-ARM-appointarep-live-usertest/conversation-guide-session01.md
conversation_guide,complete,products/accredited-representation-management/research/2025-02-ARM-appointarep-live-usertest/conversation-guide-session02.md
research_plan,complete,products/accredited-representation-management/research/2025-02-ARM-appointarep-live-usertest/research-plan.md
conversation_guide,complete,products/accredited-representative-facing/research/2024-02 User Interviews/conversation-guide.md
research_plan,complete,products/accredited-representative-facing/research/2024-02 User Interviews/research-plan.md
conversation_guide,complete,products/accredited-representative-facing/research/2024-03 Single Accredited Testing/conversation-guide.md
research_plan,complete,products/accredited-representative-facing/research/2024-03 Single Accredited Testing/research-plan.md
conversation_guide,complete,products/accredited-representative-facing/research/2024-05 NACVSO/conversation-guide.md
research_plan,complete,products/accredited-representative-facing/research/2024-05 NACVSO/research-plan.md
conversation_guide,complete,products/accredited-representative-facing/research/2024-07 OGC Contact Information Updates/conversation-guide.md
research_plan,complete,products/accredited-representative-facing/research/2024-07 OGC Contact Information Updates/research-plan.md
research_plan,complete,products/accredited-representative-facing/research/2025-02-QuickSubmit/research-plan-conversation-guide.md
conversation_guide,complete,products/accredited-representative-facing/research/2025-04 Accredited Rep Portal pilot/conversation-guide.md
research_plan,complete,products/accredited-representative-facing/research/2025-04 Accredited Rep Portal pilot/research-plan.md
conversation_guide,complete,"products/accredited-representative-facing/research/2025-04-Usability Test Claims Submission (search, 21-686c, submissions)/conversation-guide.md"
research_plan,has_placeholder,"products/accredited-representative-facing/research/2025-04-Usability Test Claims Submission (search, 21-686c, submissions)/research-plan.md"
conversation_guide,complete,"products/accredited-representative-facing/research/2025-06 User testing (Navigation, Find Claimant, Claimant Page to Submission)/conversation-guide.md"
research_plan,has_placeholder,"products/accredited-representative-facing/research/2025-06 User testing (Navigation, Find Claimant, Claimant Page to Submission)/research-plan.md"
research_plan,complete,products/accredited-representative-facing/research/2025-07 NACVSO Intercept interviews and survey/research-plan-and-conversation-guide.md
conversation_guide,complete,products/accredited-representative-facing/research/Current and Future - 2025-08 ARP Pilot Research/conversation-guide.md
research_plan,complete,products/accredited-representative-facing/research/Current and Future - 2025-08 ARP Pilot Research/research-plan.md
research_plan,complete,products/accredited-representative-facing/research/Future -  21a research/research-plan.md
research_plan,complete,products/accredited-representative-facing/research/Future - Certifying Officials/research-plan.md
research_plan,complete,products/authenticated-patterns/Templates/research-plan.md
conversation_guide,complete,products/benefit-letters/research/2025-06-Your-VA-benefit-letters-and-documents/conversation-guide.md
research_plan,complete,products/benefit-letters/research/2025-06-Your-VA-benefit-letters-and-documents/research-plan.md
conversation_guide,complete,products/burials-memorials/burial-allowance/research/2024-09-VSO-Research/conversation-guide.md
research_plan,complete,products/burials-memorials/burial-allowance/research/2024-09-VSO-Research/research-plan.md
conversation_guide,complete,products/burials-memorials/medallions/research/2024-10-Apply for a medallion in a private cemetery to products/conversation-guide.md
research_plan,complete,products/burials-memorials/medallions/research/2024-10-Apply for a medallion in a private cemetery to products/research-plan.md
conversation_guide,complete,products/burials-memorials/pre-need/discovery/conversation-guide-1.md
conversation_guide,complete,products/burials-memorials/pre-need/mobile/research/conversation-guide.md
research_plan,complete,products/burials-memorials/pre-need/mobile/research/research-plan.md
conversation_guide,complete,products/burials-memorials/time-of-need/research/Conversation-Guide.md
research_plan,complete,products/burials-memorials/time-of-need/research/Research-Plan.md
conversation_guide,complete,products/caregivers/1010cg-mvp/Sign-as-Rep-Round2-Usability-April 2021/conversation-guide.md
research_plan,complete,products/caregivers/1010cg-mvp/Sign-as-Rep-Round2-Usability-April 2021/research-plan.md
conversation_guide,complete,products/caregivers/1010cg-mvp/Sign-as-a Rep-Round3-Oct2021/Usability research/conversation-guide.md
conversation_guide,complete,products/caregivers/1010cg-mvp/Usability Study-Sign as Representative- February 2021/conversation-guide.md
conversation_guide,complete,products/caregivers/1010cg-mvp/Usability-Test-Dec-2020/conversation-guide.md
research_plan,complete,products/caregivers/1010cg-mvp/Usability-Test-Dec-2020/research-plan.md
conversation_guide,complete,products/caregivers/1010cg-mvp/research-study-July2020/conversation-guide.md
research_plan,complete,products/caregivers/1010cg-mvp/research-study-July2020/research-plan.md
conversation_guide,complete,products/caregivers/1010cg-mvp/usability-testing-jan2020/conversation-guide.md
research_plan,complete,products/caregivers/1010cg-mvp/usability-testing-jan2020/research-plan.md
conversation_guide,complete,products/caregivers/Improve Facility Selection/Research/conversation-guide.md
research_plan,complete,products/caregivers/Improve Facility Selection/Research/research-plan.md
research_plan,complete,products/caregivers/discovery/research/discovery-aug-2019/research-plan.md
conversation_guide,complete,products/caregivers/research/2023-04-Facilities and Overall Usability Research/conversation-guide.md
research_plan,complete,products/caregivers/research/2023-04-Facilities and Overall Usability Research/research-plan.md
research_plan,complete,products/caregivers/research/2024-09- Caregivers Study - form content and user interviews/research-plan.md
research_plan,complete,products/claim-appeal-status/appeals-status/v3/research-plan.md
conversation_guide,complete,products/claim-appeal-status/research/2022-08-Decision-Letter-Download/conversation-guide.md
research_plan,complete,products/claim-appeal-status/research/2022-08-Decision-Letter-Download/research-plan.md
conversation_guide,complete,products/claim-appeal-status/research/2022-11-Decision-Reviews/conversation-guide.md
research_plan,complete,products/claim-appeal-status/research/2022-11-Decision-Reviews/research-plan.md
research_plan,complete,products/claim-appeal-status/research/2022-Discovery/researchplan.md
conversation_guide,complete,products/claim-appeal-status/research/2023-03-Initial-Decisions-CST/conversation-guide.md
research_plan,complete,products/claim-appeal-status/research/2023-03-Initial-Decisions-CST/research-plan.md
conversation_guide,complete,products/claim-appeal-status/research/2023-05-Evidence-Submission/conversation-guide.md
research_plan,complete,products/claim-appeal-status/research/2023-05-Evidence-Submission/research-plan.md
conversation_guide,complete,products/claim-appeal-status/research/2023-10-Claim-Contextualization/conversation-guide.md
research_plan,complete,products/claim-appeal-status/research/2023-10-Claim-Contextualization/research-plan.md
conversation_guide,complete,products/claim-appeal-status/research/2024-07-Development-Letters/conversation-guide.md
research_plan,complete,products/claim-appeal-status/research/2024-07-Development-Letters/research-plan.md
conversation_guide,complete,products/claim-appeal-status/research/2024-11-Document-Status/conversation-guide.md
research_plan,complete,products/claim-appeal-status/research/2024-11-Document-Status/research-plan.md
conversation_guide,complete,products/claim-appeal-status/research/2025-06-Evidence-Request/conversation-guide.md
research_plan,complete,products/claim-appeal-status/research/2025-06-Evidence-Request/research_plan.md
conversation_guide,complete,products/claim-appeal-status/research/discovery-SEP-2019/conversation-guide.md
research_plan,complete,products/claim-appeal-status/research/discovery-SEP-2019/research-plan.md
conversation_guide,complete,products/combined_fsr/research/enhanced_fsr/conversation-guide.md
research_plan,complete,products/combined_fsr/research/enhanced_fsr/research-plan.md
conversation_guide,complete,products/combined_fsr/wizard/research/jan-2025/conversation-guide-at.md
conversation_guide,complete,products/combined_fsr/wizard/research/jan-2025/conversation-guide.md
research_plan,complete,products/combined_fsr/wizard/research/jan-2025/research-plan.md
conversation_guide,complete,products/combined_va_debt_portal/mobile/conversation_guide.md
research_plan,complete,products/combined_va_debt_portal/mobile/research-plan.md
conversation_guide,complete,products/combined_va_debt_portal/mobile/uat-overpayment/conversation-guide.md
research_plan,complete,products/combined_va_debt_portal/mobile/uat-overpayment/research-plan.md
conversation_guide,complete,products/combined_va_debt_portal/payment-history/research/2024-6-overpayment-usability/conversation-guide.md
research_plan,complete,products/combined_va_debt_portal/payment-history/research/2024-6-overpayment-usability/research-plan.md
conversation_guide,complete,products/combined_va_debt_portal/payment-history/research/2024-9-copay-usability/conversation-guide.md
research_plan,complete,products/combined_va_debt_portal/payment-history/research/2024-9-copay-usability/research-plan.md
conversation_guide,complete,products/combined_va_debt_portal/payment-history/research/2025-10-copays-usability/conversation-guide.md
research_plan,complete,products/combined_va_debt_portal/payment-history/research/2025-10-copays-usability/research-plan.md
conversation_guide,complete,products/combined_va_debt_portal/research/exploratory-2024/conversation-guide.md
research_plan,complete,products/combined_va_debt_portal/research/exploratory-2024/research-plan.md
conversation_guide,complete,products/combined_va_debt_portal/research/usability-apr-2022/conversation-guide.md
research_plan,complete,products/combined_va_debt_portal/research/usability-apr-2022/research-plan.md
conversation_guide,complete,products/content/audience-hubs/research/service-member/conversation-guide.md
research_plan,complete,products/content/audience-hubs/research/service-member/research-plan.md
research_plan,complete,products/content/content-strategy-ia-collaboration/content-placement-criteria/research-plan-r1.md
research_plan,complete,products/content/spanish-translation/research/research-plan.md
conversation_guide,complete,products/content/tier-2-content-IA-and-design/learning-center-mvp/discovery-and-research/conversation-guide.md
conversation_guide,complete,products/content-localization/Research/multilingual-research-2021/conversation-guide.md
research_plan,complete,products/content-localization/Research/multilingual-research-2021/research-plan.md
conversation_guide,complete,products/copilot-research-prompts/research-review/conversation-guide-analysis-prompt.md
research_plan,complete,products/copilot-research-prompts/research-review/research-plan-analysis-prompt.md
conversation_guide,complete,products/debt-letters-mvp/research/uat-aug20/conversation-guide.md
research_plan,complete,products/debt-letters-mvp/research/uat-aug20/research-plan.md
conversation_guide,complete,products/debt-letters-mvp/research/usability-july20/conversation-guide.md
research_plan,complete,products/debt-letters-mvp/research/usability-july20/research-plan.md
research_plan,complete,products/decision-reviews/Notice-of-Disagreement/NOD_UAT_Test_June2021/ResearchPlan.md
conversation_guide,complete,products/decision-reviews/Notice-of-Disagreement/Research/012024-accessible-submission-download/conversation-guide.md
research_plan,complete,products/decision-reviews/Notice-of-Disagreement/Research/012024-accessible-submission-download/research-plan.md
research_plan,complete,products/decision-reviews/Notice-of-Disagreement/Research/032021-NOD-usability/ResearchPlanNOD.md
conversation_guide,complete,products/decision-reviews/Notice-of-Disagreement/Research/042023 NoD Evaluative Research/conversation-guide.md
research_plan,complete,products/decision-reviews/Notice-of-Disagreement/Research/042023 NoD Evaluative Research/research-plan.md
research_plan,complete,products/decision-reviews/Notice-of-Disagreement/Research/082023-NOD-Enhancement-Validation/research-plan.md
conversation_guide,complete,products/decision-reviews/Supplemental-Claims/Research/0924-2024-SC-Updates/conversation-guide.md
research_plan,complete,products/decision-reviews/Supplemental-Claims/Research/0924-2024-SC-Updates/research-plan.md
conversation_guide,complete,products/decision-reviews/Supplemental-Claims/Research/1222-PACT-Act/conversation-guide.md
research_plan,complete,products/decision-reviews/Supplemental-Claims/Research/1222-PACT-Act/research-plan.md
conversation_guide,complete,products/decision-reviews/Supplemental-Claims/Research/MVP Usability Research/conversationguide.md
research_plan,complete,products/decision-reviews/Supplemental-Claims/Research/MVP Usability Research/researchplan.md
conversation_guide,complete,products/decision-reviews/Supplemental-Claims/Research/conversationguide_SME.md
conversation_guide,complete,products/decision-reviews/Supplemental-Claims/Research/conversationguide_VSO.md
research_plan,complete,products/decision-reviews/Supplemental-Claims/Research/researchplan.md
conversation_guide,complete,products/decision-reviews/higher-level-review/research/HLR-2019/conversation-guide.md
research_plan,complete,products/decision-reviews/higher-level-review/research/HLR-2019/research-plan-questions.md
research_plan,complete,products/decision-reviews/higher-level-review/research/HLR-2019/research-plan.md
conversation_guide,complete,products/decision-reviews/higher-level-review/research/UAT-October-2020/conversation-guide.md
research_plan,complete,products/decision-reviews/higher-level-review/research/UAT-October-2020/research-plan.md
research_plan,complete,products/decision-reviews/higher-level-review/research/Usability-HLR-Post-Launch/research-plan.md
conversation_guide,complete,products/decision-reviews/research/ama-research/conversation-guide.md
research_plan,complete,products/decision-reviews/research/ama-research/research-plan.md
conversation_guide,complete,products/dependents/research/2020-11-dependency-verification-research/research_plan_11_2020.md
conversation_guide,complete,products/dependents/research/2023-09-dependents-research/conversation-guide-eval.md
conversation_guide,complete,products/dependents/research/2023-09-dependents-research/conversation-guide-gen.md
research_plan,complete,products/dependents/research/2023-09-dependents-research/research-plan.md
conversation_guide,complete,products/dependents/research/2025-02-dependents-verification-mvp-research/conversation-guide.md
research_plan,complete,products/dependents/research/2025-02-dependents-verification-mvp-research/research-plan.md
research_plan,complete,products/dependents/research/2025-07-dependent-management-content-study/research-plan.md
conversation_guide,complete,products/dependents/research/2025-08-continuous-discovery-pilot/Round 4/conversation-guide.md
conversation_guide,complete,products/dependents/research/2025-08-continuous-discovery-pilot/Rounds 1&2/conversation-guide-round-1.md
conversation_guide,complete,products/dependents/research/2025-08-continuous-discovery-pilot/Rounds 1&2/conversation-guide-round-2.md
research_plan,complete,products/dependents/research/2025-08-continuous-discovery-pilot/Rounds 1&2/research-plan.md
conversation_guide,complete,products/dependents/research/2025-08-continuous-discovery-pilot/Rounds 5&6/conversation-guide.md
conversation_guide,complete,products/dependents/research/2025-08-dependent-verification-with-picklist/conversation-guide.md
research_plan,complete,products/dependents/research/2025-08-dependent-verification-with-picklist/research-plan.md
conversation_guide,complete,products/dependents/research/2026-02-continuous-discovery-phase-2/Cohort 1/conversation-guide.md
research_plan,complete,products/dependents/research/2026-02-continuous-discovery-phase-2/Cohort 1/research-plan.md
conversation_guide,complete,products/disability/526ez/research/2023-07-Toxic-Exposure/conversation-guide.md
research_plan,complete,products/disability/526ez/research/2023-07-Toxic-Exposure/research-plan.md
research_plan,complete,products/disability/526ez/research/2023-11-Shadowing-Research/Research-Plan.md
conversation_guide,complete,products/disability/526ez/research/2024-07-Submission-Status/Conversation-Guide-A.md
conversation_guide,complete,products/disability/526ez/research/2024-07-Submission-Status/Conversation-Guide-B.md
research_plan,complete,products/disability/526ez/research/2024-07-Submission-Status/Research-Plan.md
conversation_guide,complete,products/disability/526ez/research/2025-09-Copy of Submission/conversation-guide.md
research_plan,complete,products/disability/526ez/research/2025-09-Copy of Submission/research-plan.md
conversation_guide,complete,products/disability/526ez/research/2025-10-0781-EvidenceUpload/conversation-guide.md
research_plan,complete,products/disability/526ez/research/2025-10-0781-EvidenceUpload/research-plan.md
conversation_guide,complete,products/disability/526ez/research/2025-11-686c-Fully-Digital-Form-Viewer-MVP-Usability-Testing/conversation-guide-a.md
conversation_guide,complete,products/disability/526ez/research/2025-11-686c-Fully-Digital-Form-Viewer-MVP-Usability-Testing/conversation-guide-b.md
research_plan,complete,products/disability/526ez/research/2025-11-686c-Fully-Digital-Form-Viewer-MVP-Usability-Testing/research-plan.md
conversation_guide,complete,products/disability/526ez/research/CC-Team-Research/2023-10 Conditions List/conversation-guide.md
research_plan,complete,products/disability/526ez/research/CC-Team-Research/2023-10 Conditions List/research-plan.md
conversation_guide,complete,products/disability/526ez/research/CC-Team-Research/2024-07 Conditions Page Assistive Technology Testing/conversationguide-assistivetech.md
research_plan,complete,products/disability/526ez/research/CC-Team-Research/2024-07 Conditions Page Assistive Technology Testing/researchplan-assitedtech.md
conversation_guide,complete,products/disability/526ez/research/CC-Team-Research/202403 Improved Autosuggest/conversationguide-assistivetech.md
conversation_guide,complete,products/disability/526ez/research/CC-Team-Research/202403 Improved Autosuggest/conversationguide.md
research_plan,complete,products/disability/526ez/research/CC-Team-Research/202403 Improved Autosuggest/researchplan-assistedtech.md
research_plan,complete,products/disability/526ez/research/archive/July-2021/ResearchPlan.md
conversation_guide,complete,products/disability/526ez/research/archive/apr-2018/conversation-guide.md
research_plan,complete,products/disability/526ez/research/archive/feb-2019/research-plan.md
conversation_guide,complete,products/disability/526ez/research/archive/jan-2018/conversation-guide.md
conversation_guide,complete,products/disability/526ez/research/archive/jul-2019/conversation-guide.md
research_plan,complete,products/disability/526ez/research/archive/jul-2019/research-plan-unicorns-526-automation.md
conversation_guide,complete,products/disability/526ez/research/archive/mar-2018/conversation-guide.md
research_plan,complete,products/disability/526ez/research/archive/mar-2021/ResearchPlan.md
conversation_guide,complete,products/disability/526ez/research/archive/nov-2018/conversation-guide.md
research_plan,complete,products/disability/526ez/research/archive/nov-2018/research-plan-unicorns-526-late-nov.md
research_plan,complete,products/disability/526ez/research/archive/nov-2020/ResearchPlan.md
conversation_guide,complete,products/disability/526ez/research/archive/sep-oct-2018/conversation-guide.md
research_plan,complete,products/disability/526ez/research/archive/sep-oct-2018/research-plan-unicorns-526-late-sept.md
conversation_guide,complete,products/disability/abd-vro/2023-06-max-CFI-discovery/conversation-guide-v2.md
conversation_guide,complete,products/disability/abd-vro/2024-7-Claim-Evidence/conversation-guide.md
research_plan,complete,products/disability/declare-dependent/research/june-2018/research-plan.md
research_plan,complete,products/disability/disability-compensation-claim/bdd/BDD Research/BDD-Usability-test-April2021/ResearchPlan.md
conversation_guide,complete,products/disability/disability-compensation-claim/bdd/BDD Research/BDD-usability-test-April/conversation-guide.md
conversation_guide,complete,products/disability/disability-compensation-claim/bdd/BDD Research/UAT-August-2020/conversation-guide-uat.md
conversation_guide,complete,products/eFolders_Migration/research/discovery-sept20/conversation-guide.md
research_plan,complete,products/eFolders_Migration/research/discovery-sept20/research-plan.md
conversation_guide,complete,products/education-careers/opt-out/research/conversation-guide.md
research_plan,has_placeholder,products/education-careers/opt-out/research/research-plan.md
research_plan,complete,products/education-careers/school-comparison-tool/Sec103/research/research-plan.md
research_plan,complete,products/education-careers/school-comparison-tool/estimate-your-benefits/research/research-plan.md
research_plan,complete,products/education-careers/school-comparison-tool/redesign/research/beta-testing/research-plan.md
research_plan,complete,products/education-careers/school-comparison-tool/redesign/research/research-plan-stakeholders.md
research_plan,complete,products/education-careers/school-comparison-tool/redesign/research/research-plan-users.md
research_plan,complete,products/education-careers/school-comparison-tool/redesign/research/usability-testing/research-plan.md
research_plan,complete,products/education-careers/school-comparison-tool/redesign/research/usability-testing-june2021/research-plan.md
research_plan,complete,products/education-careers/school-comparison-tool/redesign/research/usability-testing-may2021/research-plan.md
research_plan,complete,products/education-careers/school-comparison-tool/redesign/research/usabilitytesting-july2021/research-plan.md
research_plan,complete,products/education-careers/school-comparison-tool/school-ratings/research/research-plan.md
research_plan,complete,products/education-careers/school-comparison-tool/school-ratings/research/research-plan2.md
research_plan,complete,products/education-careers/school-comparison-tool/school-ratings/research/research-plan3.md
conversation_guide,complete,products/education-careers/school-feedback-tool/research/conversation-guide-v2.md
conversation_guide,complete,products/education-careers/school-feedback-tool/research/conversation-guide.md
conversation_guide,complete,products/education-careers/school-feedback-tool/research/conversationguide.md
research_plan,complete,products/education-careers/school-feedback-tool/research/research-plan.md
research_plan,complete,products/education-careers/school-feedback-tool/research/researchplanversion2.md
conversation_guide,complete,products/education-careers/statement-of-benefits/v1/research/conversation-guide-050117.md
conversation_guide,complete,products/education-careers/statement-of-benefits/v1/research/conversation-guide-061917.md
conversation_guide,complete,products/education-careers/statement-of-benefits/v1/research/conversation-guide-102318.md
conversation_guide,complete,products/education-careers/statement-of-benefits/v1/research/conversation-guide.md
research_plan,complete,products/education-careers/statement-of-benefits/v1/research/research-plan-110718.md
conversation_guide,complete,products/education-careers/stem/stem-standalone-10203/SCO & Entitlement UAT/conversation-guide_eligible.md
conversation_guide,complete,products/education-careers/stem/stem-standalone-10203/SCO & Entitlement UAT/conversation-guide_ineligible.md
research_plan,complete,products/education-careers/stem/stem-standalone-10203/SCO & Entitlement UAT/research-plan.md
conversation_guide,complete,products/education-careers/stem/stem-standalone-10203/UAT/conversation-guide.md
research_plan,complete,products/education-careers/stem/stem-standalone-10203/research/research-plan-round2.md
research_plan,has_placeholder,products/education-careers/stem/stem-standalone-10203/research/research-plan.md
conversation_guide,complete,products/education-careers/vocational-rehab/research/conversation-guide-veterans.md
conversation_guide,complete,products/education-careers/vocational-rehab/research/conversationguide-formresearchjan2018.md
conversation_guide,complete,products/education-data-migration/research-folder-weamspublic/conversation-guide-weamspublic.md
research_plan,complete,products/education-data-migration/research-folder-weamspublic/research-plan-weamspublic.md
conversation_guide,complete,products/education-data-migration/research-folder-yrt/conversation-guide-yrt.md
research_plan,complete,products/education-data-migration/research-folder-yrt/research-plan-yrt.md
conversation_guide,complete,products/facilities/domiciliaries/discovery/conversation-guide.md
conversation_guide,complete,products/facilities/facility-locator/initiatives/2023-2025-search-improvements/research/services-and-progressive-disclosure/conversation-guide.md
conversation_guide,complete,products/facilities/facility-locator/research/discovery-sprints/user-research/conversation-guide.md
research_plan,has_placeholder,products/facilities/facility-locator/research/discovery-sprints/user-research/research-plan.md
conversation_guide,complete,products/facilities/facility-locator/research/user-research/2021-mobile-experience-research/conversation-guide-v2.md
research_plan,has_placeholder,products/facilities/facility-locator/research/user-research/2021-mobile-experience-research/research-plan.md
conversation_guide,complete,products/facilities/facility-locator/research/user-research/2024-01-mobile-map/conversation-guide.md
research_plan,complete,products/facilities/facility-locator/research/user-research/2024-01-mobile-map/research-plan.md
conversation_guide,complete,products/facilities/facility-locator/research/user-research/FL-Search-march2020/conversation-guide.md
research_plan,complete,products/facilities/facility-locator/research/user-research/FL-Search-march2020/research-plan.md
research_plan,has_placeholder,products/facilities/facility-locator/research/user-research/benefits-taxonomy-research-SME/research-plan-benefits-taxonomy-SME-interviews.md
conversation_guide,complete,products/facilities/facility-locator/research/user-research/emergency-care-mashup/conversation-guide.md
research_plan,has_placeholder,products/facilities/facility-locator/research/user-research/emergency-care-mashup/research-plan.md
conversation_guide,complete,products/facilities/facility-locator/research/user-research/facility-status/conversation-guide.md
research_plan,has_placeholder,products/facilities/facility-locator/research/user-research/facility-status/research-plan.md
research_plan,has_placeholder,products/facilities/facility-locator/research/user-research/redesign/filter-categorization/research-plan.md
research_plan,has_placeholder,products/facilities/facility-locator/research/user-research/redesign/prototype-testing/prototype-v1/research-plan.md
conversation_guide,complete,products/facilities/facility-locator/research/user-research/screenreader-usability-study/conversation-guide.md
research_plan,has_placeholder,products/facilities/facility-locator/research/user-research/screenreader-usability-study/research-plan.md
conversation_guide,complete,products/facilities/facility-locator/research/user-research/services-benefits-taxonomy-USERS/conversation-guide.md
research_plan,has_placeholder,products/facilities/facility-locator/research/user-research/services-benefits-taxonomy-USERS/research-plan.md
research_plan,has_placeholder,products/facilities/facility-locator/research/user-research/urgent-care/research-plan.md
conversation_guide,complete,products/facilities/facility-locator/research/user-research/urgent-care-PDF/conversation-guide.md
research_plan,has_placeholder,products/facilities/facility-locator/research/user-research/urgent-care-PDF/research-plan.md
conversation_guide,complete,products/facilities/facility-locator/research/user-research/urgent-care-mashup/conversation-guide.md
research_plan,complete,products/facilities/facility-locator/research/user-research/urgent-care-mashup/research-plan.md
conversation_guide,complete,products/facilities/medical-centers/initiatives/2020-community-care/discovery/conversation-guide.md
research_plan,complete,products/facilities/medical-centers/initiatives/2020-community-care/discovery/research-plan.md
conversation_guide,complete,products/facilities/medical-centers/initiatives/2022-VAMC-communication-methods/research/conversation-guide.md
research_plan,has_placeholder,products/facilities/medical-centers/initiatives/2022-VAMC-communication-methods/research/research-plan.md
research_plan,has_placeholder,products/facilities/medical-centers/research/VA-health-chat/research-plan.md
research_plan,complete,products/facilities/medical-centers/research/research-plan-template.md
conversation_guide,complete,products/facilities/regional-offices/research/2022-11-editor-facing/conversation-guide.md
research_plan,has_placeholder,products/facilities/regional-offices/research/2022-11-editor-facing/research-plan.md
conversation_guide,complete,products/facilities/regional-offices/research/2022-8-veteran-facing/conversation-guide.md
research_plan,complete,products/facilities/regional-offices/research/2022-8-veteran-facing/research-plan.md
conversation_guide,complete,products/facilities/regional-offices/research/2022-9-public-contact/conversation-guide.md
research_plan,complete,products/facilities/regional-offices/research/2022-9-public-contact/research-plan.md
conversation_guide,complete,products/facilities/regional-offices/research/2023-06-veteran-facing/conversation-guide.md
research_plan,complete,products/facilities/regional-offices/research/2023-06-veteran-facing/research-plan.md
conversation_guide,complete,products/facilities/regional-offices/research/2024-01-editor-facing/conversation-guide.md
research_plan,has_placeholder,products/facilities/regional-offices/research/2024-01-editor-facing/research-plan.md
conversation_guide,complete,products/facilities/vaccination-taxonomy/conversation-guide.md
research_plan,has_placeholder,products/facilities/vaccination-taxonomy/research-plan.md
conversation_guide,complete,products/facilities/vet-centers/initiatives/2020-2021-modernization/discovery/client-usability-tests/conversation-guide.md
research_plan,complete,products/facilities/vet-centers/initiatives/2020-2021-modernization/discovery/client-usability-tests/research-plan.md
conversation_guide,complete,products/facilities/vet-centers/initiatives/2020-2021-modernization/discovery/outreach-specialist-interviews/conversation-guide.md
conversation_guide,complete,products/facilities/vet-centers/initiatives/2020-2021-modernization/discovery/veteran-interviews/conversation-guide.md
